,0.,|,"spam,",non-spam,classes
0,word_freq_make:,continuous.,,,
1,word_freq_address:,continuous.,,,
2,word_freq_all:,continuous.,,,
3,word_freq_3d:,continuous.,,,
4,word_freq_our:,continuous.,,,
5,word_freq_over:,continuous.,,,
6,word_freq_remove:,continuous.,,,
7,word_freq_internet:,continuous.,,,
8,word_freq_order:,continuous.,,,
9,word_freq_mail:,continuous.,,,
10,word_freq_receive:,continuous.,,,
11,word_freq_will:,continuous.,,,
12,word_freq_people:,continuous.,,,
13,word_freq_report:,continuous.,,,
14,word_freq_addresses:,continuous.,,,
15,word_freq_free:,continuous.,,,
16,word_freq_business:,continuous.,,,
17,word_freq_email:,continuous.,,,
18,word_freq_you:,continuous.,,,
19,word_freq_credit:,continuous.,,,
20,word_freq_your:,continuous.,,,
21,word_freq_font:,continuous.,,,
22,word_freq_000:,continuous.,,,
23,word_freq_money:,continuous.,,,
24,word_freq_hp:,continuous.,,,
25,word_freq_hpl:,continuous.,,,
26,word_freq_george:,continuous.,,,
27,word_freq_650:,continuous.,,,
28,word_freq_lab:,continuous.,,,
29,word_freq_labs:,continuous.,,,
30,word_freq_telnet:,continuous.,,,
31,word_freq_857:,continuous.,,,
32,word_freq_data:,continuous.,,,
33,word_freq_415:,continuous.,,,
34,word_freq_85:,continuous.,,,
35,word_freq_technology:,continuous.,,,
36,word_freq_1999:,continuous.,,,
37,word_freq_parts:,continuous.,,,
38,word_freq_pm:,continuous.,,,
39,word_freq_direct:,continuous.,,,
40,word_freq_cs:,continuous.,,,
41,word_freq_meeting:,continuous.,,,
42,word_freq_original:,continuous.,,,
43,word_freq_project:,continuous.,,,
44,word_freq_re:,continuous.,,,
45,word_freq_edu:,continuous.,,,
46,word_freq_table:,continuous.,,,
47,word_freq_conference:,continuous.,,,
48,char_freq_;:,continuous.,,,
49,char_freq_(:,continuous.,,,
50,char_freq_[:,continuous.,,,
51,char_freq_!:,continuous.,,,
52,char_freq_$:,continuous.,,,
53,char_freq_#:,continuous.,,,
54,capital_run_length_average:,continuous.,,,
55,capital_run_length_longest:,continuous.,,,
56,capital_run_length_total:,continuous.,,,
